Description,Item Category,Date of Retrieval,Department Name,College Name
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Office Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Wooden Office Desk,furniture-tables,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Stacking Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Stacking Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Stacking Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Stacking Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Stacking Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Stacking Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Stacking Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Stacking Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Stacking Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Stacking Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Stacking Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Stacking Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
Side Stacking Chair,furniture-seating,2024/10/9,Recreation and Wellbeing,Vice Chanc for Student Affairs
