Description,Item category,Received Date,Department Name,College Name
DELL OPTIPLEX COMPUTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
DELL OPTIPLEX COMPUTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
DELL OPTIPLEX COMPUTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
DELL OPTIPLEX COMPUTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
Dell Latitude Laptop,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
Dell Latitude Laptop,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
Dell Latitude Laptop,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
Dell Latitude Laptop,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
Dell Latitude Laptop,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
Dell Latitude Laptop,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
Dell Latitude Laptop,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
DELL LASER PRINTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
BROTHER LASER PRINTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
DELL OPTIPLEX COMPUTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
DELL OPTIPLEX COMPUTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
DELL OPTIPLEX COMPUTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
DELL OPTIPLEX COMPUTER,computing,2024/9/4,Disability & Human Development,Applied Health Sciences
