Description,Item Category,Date of Retrieval,Department Name,College Name
Dell Monitor,electronics-av,2025/3/5,Mechanical Sci & Engineering,Grainger Engineering
Dell Optiplex 5060,computing,2025/3/5,Mechanical Sci & Engineering,Grainger Engineering
Dell Optiplex 5060,computing,2025/3/5,Mechanical Sci & Engineering,Grainger Engineering
Dell Optiplex 5060,computing,2025/3/5,Mechanical Sci & Engineering,Grainger Engineering
Dell P2414Hb Monitor,electronics-av,2025/3/6,Pathobiology,Veterinary Medicine
Dell P2412Hb Monitor,electronics-av,2025/3/6,Pathobiology,Veterinary Medicine
Dell P2414Hb Monitor,electronics-av,2025/3/6,Pathobiology,Veterinary Medicine
Dell P2314ht monitor,electronics-av,2025/3/6,Pathobiology,Veterinary Medicine
Varidesk,furniture-tables,2025/3/6,IL Natural History Survey,OVCRI Institutes
Desktop Dell Precision 3430,computing,2025/3/6,Plant Biology,Liberal Arts & Sciences
DellOptiPlex 7060,computing,2025/3/6,Beckman Institute,OVCRI Institutes
Dell Monitor P2418HZ,electronics-av,2025/3/6,Beckman Institute,OVCRI Institutes
Dell Optiplex 5060,computing,2025/3/6,Beckman Institute,OVCRI Institutes
Dell SX2210b Monitor,electronics-av,2025/3/6,Beckman Institute,OVCRI Institutes
Dell Optiplex 5060,computing,2025/3/6,Chemistry,Liberal Arts & Sciences
Monitor,electronics-av,2025/3/6,Chemistry,Liberal Arts & Sciences
Dell P2412Hb Monitor,electronics-av,2025/3/6,Vet Medicine Administration,Veterinary Medicine
Dell P2412Hb Monitor,electronics-av,2025/3/6,Vet Medicine Administration,Veterinary Medicine
Dell SX2210b Monitor,electronics-av,2025/3/6,"Inst for Sustain, Enrgy, & Env",OVCRI Institutes
Monitor,electronics-av,2025/3/6,"Inst for Sustain, Enrgy, & Env",OVCRI Institutes
Dell Monitor,electronics-av,2025/3/6,"Inst for Sustain, Enrgy, & Env",OVCRI Institutes
Dell Monitor,electronics-av,2025/3/6,"Inst for Sustain, Enrgy, & Env",OVCRI Institutes
Chair,furniture-seating,2025/3/6,Animal Sciences,"Agr, Consumer & Env Sciences"
Stacking Chair,furniture-seating,2025/3/6,IL State Geological Survey,OVCRI Institutes
Stacking Chair,furniture-seating,2025/3/6,IL State Geological Survey,OVCRI Institutes
Stacking Chair,furniture-seating,2025/3/6,IL State Geological Survey,OVCRI Institutes
Stacking Chair,furniture-seating,2025/3/6,IL State Geological Survey,OVCRI Institutes
Stacking Chair,furniture-seating,2025/3/6,IL State Geological Survey,OVCRI Institutes
Stacking Chair,furniture-seating,2025/3/6,IL State Geological Survey,OVCRI Institutes
Stacking Chair,furniture-seating,2025/3/6,IL State Geological Survey,OVCRI Institutes
Stacking Chair,furniture-seating,2025/3/6,IL State Geological Survey,OVCRI Institutes
Stacking Chair,furniture-seating,2025/3/6,IL State Geological Survey,OVCRI Institutes
Stacking Chair,furniture-seating,2025/3/6,IL State Geological Survey,OVCRI Institutes
Stacking Chair,furniture-seating,2025/3/6,IL State Geological Survey,OVCRI Institutes
Table 6' x 3',furniture-tables,2025/3/6,Mechanical Sci & Engineering,Grainger Engineering
Desktop Dell Precision 3430,computing,2025/3/6,Mechanical Sci & Engineering,Grainger Engineering
Samsung Tablet SM-P610NZAAXAR,computing,2025/3/6,Mechanical Sci & Engineering,Grainger Engineering
Microsoft Surface 1796,computing,2025/3/6,Mechanical Sci & Engineering,Grainger Engineering
Dell Monitor,electronics-av,2025/3/6,Mechanical Sci & Engineering,Grainger Engineering
Chair,furniture-seating,2025/3/6,Carle IL COM Administration,Carle Illinois Medicine
Chair,furniture-seating,2025/3/6,Carle IL COM Administration,Carle Illinois Medicine
Wardrobe Cabinet,furniture-storage,2025/3/6,Carle IL COM Administration,Carle Illinois Medicine
Dell P2419H Monitor,electronics-av,2025/3/6,Univ Acct & Fin Report,Office of the Controller
Dell Optiplex 5060,computing,2025/3/7,Civil & Environmental Eng,Grainger Engineering
Dell Latitude 5590,computing,2025/3/7,Civil & Environmental Eng,Grainger Engineering
Dell Monitor,electronics-av,2025/3/7,Civil & Environmental Eng,Grainger Engineering
Dell Monitor,electronics-av,2025/3/7,Civil & Environmental Eng,Grainger Engineering
Dell Optiplex 7070,computing,2025/3/7,ACES Technology Services,"Agr, Consumer & Env Sciences"
Dell Latitude 5490,computing,2025/3/7,ACES Technology Services,"Agr, Consumer & Env Sciences"
Desktop Dell Precision 3431,computing,2025/3/7,ACES Technology Services,"Agr, Consumer & Env Sciences"
Desktop Dell Precision 3431,computing,2025/3/7,ACES Technology Services,"Agr, Consumer & Env Sciences"
Desktop Dell Precision 3430,computing,2025/3/7,ACES Technology Services,"Agr, Consumer & Env Sciences"
Desktop Dell Precision 3430,computing,2025/3/7,ACES Technology Services,"Agr, Consumer & Env Sciences"
Desktop Dell Precision 3430,computing,2025/3/7,ACES Technology Services,"Agr, Consumer & Env Sciences"
Dell Latitude 7300,computing,2025/3/7,ACES Technology Services,"Agr, Consumer & Env Sciences"
Chair,furniture-seating,2025/3/7,Urban & Regional Planning,Fine & Applied Arts
Chair,furniture-seating,2025/3/7,Urban & Regional Planning,Fine & Applied Arts
Chair,furniture-seating,2025/3/7,Urban & Regional Planning,Fine & Applied Arts
Chair,furniture-seating,2025/3/7,Urban & Regional Planning,Fine & Applied Arts
Dell Latitude 5580,computing,2025/3/7,Mechanical Sci & Engineering,Grainger Engineering
2 drawer file cabinet,furniture-storage,2025/3/10,Curriculum and Instruction,Education
E0120 Dell Monitor,electronics-av,2025/3/12,Physics,Grainger Engineering
Dell Latitude 5310,computing,2025/3/12,Physics,Grainger Engineering
Apple iMac 21.5,computing,2025/3/12,Pathobiology,Veterinary Medicine
Round Table 5',furniture-tables,2025/3/12,Fire Service Institute,Public Safety
Round Table 42,furniture-tables,2025/3/12,Fire Service Institute,Public Safety
Desk 60x30,furniture-tables,2025/3/12,Fire Service Institute,Public Safety
Wood Cabinet w7 drawers,furniture-storage,2025/3/12,Fire Service Institute,Public Safety
Wood Cabinet w7 drawers,furniture-storage,2025/3/12,Fire Service Institute,Public Safety
Rolling Chair,furniture-seating,2025/3/12,Fire Service Institute,Public Safety
Rolling Chair,furniture-seating,2025/3/12,Fire Service Institute,Public Safety
